Unnamed: 0,2024-06-30
TreasurySharesNumber,1652200000.0
OrdinarySharesNumber,2357050915.0
ShareIssued,4009250915.0
NetDebt,22978000000.0
TotalDebt,33369000000.0
TangibleBookValue,-12862000000.0
InvestedCapital,81948000000.0
WorkingCapital,-8918000000.0
NetTangibleAssets,-12064000000.0
CapitalLeaseObligations,909000000.0
CommonStockEquity,49488000000.0
PreferredStockEquity,798000000.0
TotalCapitalization,75555000000.0
TotalEquityGrossMinorityInterest,50558000000.0
MinorityInterest,272000000.0
StockholdersEquity,50286000000.0
OtherEquityInterest,-737000000.0
GainsLossesNotAffectingRetainedEarnings,-11900000000.0
OtherEquityAdjustments,-11900000000.0
MinimumPensionLiabilities,
TreasuryStock,133379000000.0
RetainedEarnings,123811000000.0
AdditionalPaidInCapital,67684000000.0
CapitalStock,4807000000.0
CommonStock,4009000000.0
PreferredStock,798000000.0
TotalLiabilitiesNetMinorityInterest,71812000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,38185000000.0
OtherNonCurrentLiabilities,557000000.0
DerivativeProductLiabilities,325000000.0
EmployeeBenefits,3537000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,3537000000.0
TradeandOtherPayablesNonCurrent,1315000000.0
NonCurrentDeferredLiabilities,6516000000.0
NonCurrentDeferredTaxesLiabilities,6516000000.0
LongTermDebtAndCapitalLeaseObligation,25935000000.0
LongTermCapitalLeaseObligation,666000000.0
LongTermDebt,25269000000.0
CurrentLiabilities,33627000000.0
OtherCurrentLiabilities,3006000000.0
CurrentDebtAndCapitalLeaseObligation,7434000000.0
CurrentCapitalLeaseObligation,243000000.0
CurrentDebt,7191000000.0
OtherCurrentBorrowings,3864000000.0
CommercialPaper,3327000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,2161000000.0
CurrentProvisions,166000000.0
PayablesAndAccruedExpenses,20860000000.0
CurrentAccruedExpenses,4454000000.0
InterestPayable,282000000.0
Payables,16406000000.0
TotalTaxPayable,1042000000.0
AccountsPayable,15364000000.0
TotalAssets,122370000000.0
TotalNonCurrentAssets,97660000000.0
OtherNonCurrentAssets,13158000000.0
GoodwillAndOtherIntangibleAssets,62350000000.0
OtherIntangibleAssets,22047000000.0
Goodwill,40303000000.0
NetPPE,22152000000.0
AccumulatedDepreciation,-27911000000.0
GrossPPE,50063000000.0
ConstructionInProgress,3126000000.0
OtherProperties,1000000.0
MachineryFurnitureEquipment,37507000000.0
BuildingsAndImprovements,8534000000.0
LandAndImprovements,895000000.0
Properties,0.0
CurrentAssets,24709000000.0
OtherCurrentAssets,2093000000.0
PrepaidAssets,
Inventory,7016000000.0
FinishedGoods,4470000000.0
WorkInProcess,929000000.0
RawMaterials,1617000000.0
Receivables,6118000000.0
AccountsReceivable,6118000000.0
CashCashEquivalentsAndShortTermInvestments,9482000000.0
OtherShortTermInvestments,
CashAndCashEquivalents,9482000000.0
FreeCashFlow,16524000000.0
RepurchaseOfCapitalStock,-5006000000.0
RepaymentOfDebt,-10024000000.0
IssuanceOfDebt,7582000000.0
CapitalExpenditure,-3322000000.0
InterestPaidSupplementalData,878000000.0
IncomeTaxPaidSupplementalData,4363000000.0
EndCashPosition,9482000000.0
BeginningCashPosition,8246000000.0
EffectOfExchangeRateChanges,-251000000.0
ChangesInCash,1487000000.0
FinancingCashFlow,-14855000000.0
CashFlowFromContinuingFinancingActivities,-14855000000.0
ProceedsFromStockOptionExercised,1905000000.0
CashDividendsPaid,-9312000000.0
CommonStockDividendPaid,
NetCommonStockIssuance,-5006000000.0
CommonStockPayments,-5006000000.0
NetIssuancePaymentsOfDebt,-2442000000.0
NetShortTermDebtIssuance,-3304000000.0
ShortTermDebtPayments,-7689000000.0
ShortTermDebtIssuance,4385000000.0
NetLongTermDebtIssuance,862000000.0
LongTermDebtPayments,-2335000000.0
LongTermDebtIssuance,3197000000.0
InvestingCashFlow,-3504000000.0
CashFlowFromContinuingInvestingActivities,-3504000000.0
NetOtherInvestingChanges,-161000000.0
NetInvestmentPurchaseAndSale,
SaleOfInvestment,
PurchaseOfInvestment,
NetBusinessPurchaseAndSale,-21000000.0
PurchaseOfBusiness,-21000000.0
CapitalExpenditureReported,-3322000000.0
OperatingCashFlow,19846000000.0
CashFlowFromContinuingOperatingActivities,19847000000.0
ChangeInWorkingCapital,-436000000.0
ChangeInOtherWorkingCapital,-1414000000.0
ChangeInPayablesAndAccruedExpense,1814000000.0
ChangeInPayable,1814000000.0
ChangeInAccountPayable,1814000000.0
ChangeInInventory,-70000000.0
ChangeInReceivables,-766000000.0
ChangesInAccountReceivables,-766000000.0
OtherNonCashItems,968000000.0
StockBasedCompensation,562000000.0
AssetImpairmentCharge,1341000000.0
DeferredTax,-244000000.0
DeferredIncomeTax,-244000000.0
DepreciationAmortizationDepletion,2896000000.0
DepreciationAndAmortization,2896000000.0
OperatingGainsLosses,-215000000.0
NetIncomeFromContinuingOperations,14974000000.0
TaxEffectOfUnusualItems,-270882000.0
TaxRateForCalcs,0.202
NormalizedEBITDA,23923000000.0
TotalUnusualItems,-1341000000.0
TotalUnusualItemsExcludingGoodwill,-1341000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,14879000000.0
ReconciledDepreciation,2896000000.0
ReconciledCostOfRevenue,40848000000.0
EBITDA,22582000000.0
EBIT,19686000000.0
NetInterestIncome,-452000000.0
InterestExpense,925000000.0
InterestIncome,473000000.0
NormalizedIncome,15949118000.0
NetIncomeFromContinuingAndDiscontinuedOperation,14879000000.0
TotalExpenses,64153000000.0
TotalOperatingIncomeAsReported,18545000000.0
DilutedAverageShares,2471900000.0
BasicAverageShares,2360100000.0
DilutedEPS,6.02
BasicEPS,6.18
DilutedNIAvailtoComStockholders,14879000000.0
AverageDilutionEarnings,284000000.0
NetIncomeCommonStockholders,14595000000.0
PreferredStockDividends,284000000.0
NetIncome,14879000000.0
MinorityInterests,-95000000.0
NetIncomeIncludingNoncontrollingInterests,14974000000.0
NetIncomeContinuousOperations,14974000000.0
TaxProvision,3787000000.0
PretaxIncome,18761000000.0
OtherIncomeExpense,-673000000.0
OtherNonOperatingIncomeExpenses,668000000.0
SpecialIncomeCharges,-1341000000.0
ImpairmentOfCapitalAssets,1341000000.0
NetNonOperatingInterestIncomeExpense,-452000000.0
InterestExpenseNonOperating,925000000.0
InterestIncomeNonOperating,473000000.0
OperatingIncome,19886000000.0
OperatingExpense,23305000000.0
SellingGeneralAndAdministration,23305000000.0
GrossProfit,43191000000.0
CostOfRevenue,40848000000.0
TotalRevenue,84039000000.0
OperatingRevenue,84039000000.0
